********************************
1. MODE
********************************
mode	cnum	inum
…达…斯	6	埃达拉斯,奥达努斯,安达洛斯,布达佩斯,艾达伊斯,莫达克斯
…里…外	6	打里打外,忙里忙外,皮里膜外,从里到外,没里没外,里里外外
…本…源	6	木本水源,本本源源,有本有源,拔本塞源,穷本极源,枯本竭源
…牛…马	6	童牛角马,土牛木马,服牛乘马,敲牛宰马,木牛流马,吹牛拍马
…唱…和	6	君唱臣和,狐唱枭和,此唱彼和,你唱我和,彼唱此和,雄唱雌和
…少…多	6	吉少凶多,立少观多,以少胜多,会少离多,粥少僧多,入少出多
…门…子	6	脑门心子,一门口子,硬门槛子,将门虎子,顶门针子,入门杖子
…家…户	6	大家小户,各家各户,千家万户,家家户户,单家独户,安家落户
…花…叶	6	一花五叶,拈花摘叶,杏花菖叶,狂花病叶,緑花緑叶,雕花刻叶
…尔…特	6	加尔福特,塞尔沃特,埃尔富特,比尔吉特,土尔扈特,米尔科特
…舌…唇	6	掉舌鼓唇,调舌弄唇,缚舌交唇,费舌劳唇,齰舌缄唇,饶舌调唇
…下…上	6	御下蔽上,轻下慢上,附下罔上,谮下谩上,从下到上,居下讪上
…形…色	6	殊形诡色,形形色色,观形察色,鹄形菜色,相形失色,摹形绘色
…舞…歌	6	凤舞鸾歌,楚舞吴歌,妙舞清歌,醉舞狂歌,曼舞妖歌,恒舞酣歌
…留…剌	6	稽留聒剌,吸留忽剌,必留不剌,低留答剌,赤留兀剌,失留疎剌
…零…碎	6	七零八碎,东零西碎,手零脚碎,粉零麻碎,零零碎碎,鸡零狗碎
…甲…兵	6	饰甲底兵,精甲锐兵,偃甲息兵,贯甲提兵,弃甲曳兵,整甲缮兵
…锣…鼓	6	密锣紧鼓,筛锣擂鼓,收锣罢鼓,扬锣捣鼓,大锣大鼓,紧锣密鼓
…月…花	6	咏月嘲花,明月芦花,水月镜花,秋月春花,闭月羞花,雪月风花
…高…下	6	赏高罚下,墙高基下,升高自下,眉高眼下,名高天下,屈高就下
…心…子	6	佛心天子,捧心西子,攒心盒子,疑心杀子,空心架子,黑心眼子
…红…紫	6	万红千紫,争红斗紫,千红万紫,大红大紫,嫣红姹紫,露红烟紫
…火…甲	6	召火腿甲,怒火面甲,淬火锁甲,熔火胫甲,飞火胸甲,龙火重甲
…口…言	6	有口难言,信口胡言,异口一言,失口乱言,讷口少言,矢口猖言
…风…浪	6	随风逐浪,愤风惊浪,惊风骇浪,大风大浪,劈风斩浪,平风静浪
…风…气	6	三风五气,仙风道气,占风望气,廉风正气,春风和气,歪风邪气
…富…贫	6	卖富差贫,视富如贫,安富恤贫,妒富愧贫,辞富居贫,爱富嫌贫
…文…字	6	英文名字,片文只字,梳文栉字,緑文赤字,讲文张字,天文数字
…近…远	6	以近知远,恤近忽远,由近及远,逐近弃远,笃近举远,悦近来远
…耳…目	6	飞耳长目,惊耳骇目,稗耳贩目,赁耳佣目,庸耳俗目,废耳任目
…筋…骨	6	柔筋脆骨,抽筋拔骨,村筋俗骨,擢筋割骨,伤筋动骨,劳筋苦骨
…格…尔	6	麦格玛尔,斯格霍尔,比格维尔,盎格库尔,安格雷尔,基格勒尔
…龙…凤	6	卧龙伏凤,飞龙舞凤,颠龙倒凤,骑龙弄凤,乘龙配凤,雕龙画凤
…高…厚	6	官高禄厚,戴高履厚,才高行厚,年高德厚,天高地厚,恩高义厚
…生…长	6	春生夏长,学生家长,看生见长,卫生部长,声生势长,村生泊长
…步…行	6	信步而行,寸步难行,矩步方行,缓步徐行,虎步龙行,鸭步鹅行
…明…暗	6	不明不暗,半明半暗,弃明投暗,忽明忽暗,花明柳暗,若明若暗
…人…心	6	二人同心,降人以心,野人背心,交人交心,木人石心,一人两心
…规…矩	6	中规中矩,珠规玉矩,周规折矩,践规踏矩,蹈规循矩,规规矩矩
…此…彼	5	重此抑彼,薄此厚彼,非此即彼,由此及彼,厚此薄彼
…口…心	5	苦口婆心,以口问心,开口见心,有口无心,绣口锦心
…邻…舍	5	三邻四舍,东邻西舍,四邻八舍,左邻右舍,村邻乡舍
…汤…水	5	送汤送水,残汤剩水,流汤滴水,连汤带水,剩汤腊水
…兄…弟	5	你兄我弟,前兄后弟,如兄如弟,称兄道弟,难兄难弟
…心…肺	5	鼠心狼肺,撕心裂肺,缺心少肺,刿心刳肺,没心没肺
…年…岁	5	逾年历岁,远年近岁,丰年稔岁,年年岁岁,新年新岁
…特…尔	5	尼特布尔,黑特雷尔,怀特豪尔,蒙特利尔,哈特威尔
…特…德	5	卡特弗德,多特蒙德,巴特兰德,库特哈德,阿特伍德
…斗…争	5	暗斗明争,虎斗龙争,蚁斗蜗争,触斗蛮争,龙斗虎争
…上…人	5	爱上别人,路上行人,河上丈人,被上诉人,新上海人
…心…骨	5	柔心弱骨,洗心换骨,彻心彻骨,镌心铭骨,空心翼骨
…不…了	5	受不了了,差不多了,忍不住了,来不及了,看不见了
…不…人	5	我不犯人,天不绝人,迥不犹人,暴不肖人,技不如人
…不…义	5	三不主义,利不亏义,穷不失义,言不及义,辞不达义
…红…白	5	有红似白,批红判白,血红蛋白,驻红却白,唇红齿白
…拉…克	5	提拉穆克,乌拉泰克,奥拉瑞克,祖拉雷克,尤拉莱克
…华…实	5	声华行实,开华结实,春华秋实,捐华务实,衔华佩实
…无…心	5	亲无怨心,四无量心,毫无机心,民无常心,誓无二心
…话…说	5	无话可说,实话实说,长话短说,有话好说,神话传说
…衣…冠	5	暴衣露冠,朝衣朝冠,绛衣大冠,缟衣白冠,褒衣危冠
…胆…心	5	铁胆铜心,破胆寒心,摘胆剜心,剑胆琴心,赤胆忠心
…理…情	5	允理惬情,悖理违情,有理无情,天理人情,揆理度情
…金…紫	5	纡金曳紫,拖金委紫,带金佩紫,重金兼紫,佩金带紫
…尔…恩	5	托尔贝恩,梅尔利恩,沙尔迪恩,莎尔蒂恩,鲁尔克恩
…事…事	5	七事八事,先事虑事,就事论事,无事生事,没事找事
…生…世	5	一生一世,人生在世,今生今世,永生永世,生生世世
…飞…走	5	乌飞兔走,射飞逐走,金飞玉走,高飞远走,鸡飞狗走
…踪…迹	5	雨踪云迹,寻踪觅迹,虎踪猫迹,追踪问迹,来踪去迹
…意…情	5	假意虚情,密意深情,雨意云情,画意诗情,蝶意莺情
…足…手	5	七足八手,如足如手,碍足碍手,跷足抗手,顿足搓手
…交…友	5	广交朋友,择交而友,清交素友,至交契友,鸾交凤友
…亲…友	5	疏亲慢友,沾亲带友,访亲问友,远亲近友,三亲四友
…朋…友	5	亲朋好友,莺朋燕友,呼朋唤友,三朋四友,良朋益友
…利…名	5	蜗利蝇名,蝇利蜗名,要利盗名,违利赴名,射利沽名
…世…人	5	齐世庸人,论世知人,两世为人,百世一人,当世名人
…尽…穷	5	才尽词穷,烛尽光穷,水尽山穷,无尽无穷,矢尽兵穷
…朝…夕	5	一朝一夕,匪朝伊夕,朝朝暮夕,花朝月夕,连朝接夕
…止…行	5	不止不行,坎止流行,官止神行,山止川行,禁止令行
…千…万	5	逾千越万,千千万万,触千捣万,人千人万,説千説万
…唇…嘴	5	强唇劣嘴,舔唇咂嘴,挑唇料嘴,努唇胀嘴,驴唇马嘴
…夫…妇	5	单夫只妇,贞夫烈妇,疋夫疋妇,奸夫淫妇,义夫节妇
…雷…尔	5	瑟雷基尔,弗雷玛尔,米雷达尔,泰雷多尔,夏雷纳尔
…四…三	5	倒四颠三,暮四朝三,朝四暮三,第四十三,语四言三
…户…门	5	万户千门,柳户花门,蓬户柴门,角户分门,闭户关门
…黄…白	5	怀黄握白,抽黄对白,数黄道白,论黄数白,雌黄黑白
…民…物	5	仁民爱物,安民济物,残民害物,爱民恤物,纳民轨物
…多…广	5	粮多草广,人多智广,识多才广,见多识广,经多见广
…寒…冷	5	冰寒雪冷,回寒倒冷,山寒水冷,心寒齿冷,衾寒枕冷
…珠…玉	5	隋珠和玉,咳珠唾玉,飞珠溅玉,抛珠滚玉,随珠荆玉
…零…落	5	珠零玉落,东零西落,七零八落,零零落落,五零二落
…清…浊	5	十清九浊,戴清履浊,泾清渭浊,内清外浊,言清行浊
…不…手	5	拿不出手,拳不离手,读不舍手,出不得手,贼不空手
…名…利	5	蝇名蜗利,朝名市利,邀名射利,有名有利,遗名去利
…天…人	5	移天适人,违天悖人,愧天怍人,欺天罔人,祭天金人
…波…浪	5	劈波斩浪,推波助浪,兴波作浪,乳波臀浪,骏波虎浪
…言…词	5	出言吐词,甘言媚词,繁言蔓词,造言捏词,陈言肤词
…骨…肉	5	朽骨重肉,枯骨生肉,槁骨腐肉,死骨更肉,白骨再肉
…风…火	5	春风野火,惊风扯火,风风火火,反风灭火,招风揽火
…云…月	5	晴云秋月,裁云镂月,停云落月,拿云捉月,梳云掠月
…克…斯	5	阿克巴斯,玛克温斯,斯克提斯,里克努斯,廷克维斯
…尾…头	5	岁尾年头,巷尾街头,摆尾摇头,楚尾吴头,露尾藏头
…时…俗	5	匡时济俗,救时厉俗,阿时趋俗,顺时随俗,悯时病俗
…零…散	5	七零八散,东零西散,五零四散,雨零星散,零零散散
…争…斗	5	你争我斗,明争暗斗,蛮争触斗,鸡争鹅斗,龙争虎斗
…刚…柔	5	做刚做柔,吐刚茹柔,外刚内柔,摧刚为柔,能刚能柔
…非…是	5	人非物是,昨非今是,质非文是,闲非闲是,似非而是
…趋…步	5	一趋一步,东趋西步,亦趋亦步,尧趋舜步,绳趋尺步
…针…线	5	行针步线,一针一线,密针细线,细针密线,横针竖线
…玉…珠	5	噀玉喷珠,缀玉联珠,涎玉沫珠,馔玉炊珠,破玉锤珠
…玉…金	5	烁玉流金,馔玉炊金,积玉堆金,乃玉乃金,璞玉浑金
…不…身	5	艺不压身,脱不了身,衣不遮身,毁不危身,甲不离身
…格…斯	5	哈格鲁斯,底格里斯,维格索斯,朗格尔斯,兹格雷斯
…里…拉	5	雅里瑞拉,稀里花拉,踢里踏拉,里里拉拉,梅里萨拉
…章…句	5	金章玉句,钩章棘句,分章析句,月章星句,千章万句
…心…口	5	佛心蛇口,提心在口,热心苦口,蛇心佛口,锦心绣口
…战…胜	5	不战而胜,九战九胜,十战十胜,屡战屡胜,百战百胜
…德…尔	5	杉德里尔,卡德雷尔,温德索尔,海德格尔,博德戈尔
…身…命	5	安身立命,穷身泼命,典身卖命,戕身伐命,束身受命
…根…蒂	5	寻根问蒂,归根结蒂,无根无蒂,深根固蒂,追根究蒂
…张…智	5	做张做智,失张失智,慌张慌智,有张没智,鬼张鬼智
…斯…德	5	兰斯利德,埃斯沙德,奥斯古德,宾斯匹德,螽斯之德
…奇…怪	5	神奇荒怪,天奇地怪,奇奇怪怪,千奇百怪,归奇顾怪
…荣…辱	5	八荣八辱,旧荣新辱,求荣反辱,知荣守辱,进荣退辱
…慌…乱	5	不慌不乱,手慌脚乱,七慌八乱,兵慌马乱,蟹慌蟹乱
…萨…斯	5	纳萨诺斯,乌萨苟斯,加萨里斯,冈萨雷斯,阿萨洛斯
…尔…克	5	贝尔杜克,纳尔帕克,希尔拉克,卡尔图克,库尔斯克
…斯…恩	5	戴斯班恩,格斯塔恩,法斯托恩,菲斯巴恩,路斯莱恩
…中…子	5	人中狮子,石中黄子,花中君子,邺中七子,闽中十子
…戈…马	5	金戈铁马,砺戈秣马,止戈散马,持戈试马,枕戈汗马
…说…说	5	好说歹说,死说活说,花说柳说,左说右说,待说不说
…后…前	5	褪后趋前,顾后瞻前,疐后跋前,王后卢前,敛后疏前
…兵…将	5	骄兵悍将,残兵败将,调兵遣将,虾兵蟹将,遣兵调将
…忙…乱	5	心忙意乱,忙忙乱乱,手忙脚乱,脚忙手乱,虾忙蟹乱
…武…文	5	纬武经文,乃武乃文,祖武宗文,经武纬文,较武论文
…鬼…神	5	出鬼入神,拜鬼求神,疑鬼疑神,弄鬼弄神,做鬼做神
…源…本	5	寻源讨本,水源木本,穷源推本,源源本本,枝源派本
…行…市	5	大行大市,搀行夺市,有行无市,欺行霸市,随行就市
…伦…尔	5	克伦威尔,呼伦贝尔,塔伦米尔,奥伦提尔,格伦德尔
…克…姆	5	加克希姆,斯克拉姆,耐克鲁姆,贝克汉姆,马克西姆
…人…地	5	出人头地,引人胜地,无人之地,猎人高地,私人天地
…善…恶	5	赏善罚恶,彰善瘅恶,欺善怕恶,面善心恶,植善倾恶
…走…飞	5	兔走乌飞,玉走金飞,胡走游飞,行走如飞,远走高飞
…心…糁	5	倾心吐糁,提心吊糁,熊心豹糁,琴心剑糁,铁心铜糁
…怪…奇	5	怪怪奇奇,斗怪争奇,百怪千奇,逞怪披奇,饰怪装奇
…好…歹	5	作好作歹,做好做歹,杭好杭歹,嫌好道歹,三好两歹
…马…车	5	白马素车,风马云车,杀马毁车,秣马脂车,独马小车
…劳…逸	5	以劳击逸,有劳有逸,避劳就逸,反劳为逸,待劳以逸
…新…故	4	喜新厌故,迎新送故,鼎新革故,得新忘故
…穷…尽	4	山穷水尽,智穷才尽,民穷财尽,无穷无尽
…新…旧	4	革新变旧,笃新怠旧,铸新淘旧,逢新感旧
…家…业	4	坑家败业,穷家薄业,败家破业,发家致业
…家…事	4	国家大事,当家立事,看家本事,跌家打事
…私…利	4	不私其利,公私两利,自私自利,营私罔利
…风…面	4	东风人面,和风拂面,威风八面,春风满面
…不…得	4	值不值得,名不虚得,杳不可得,记不记得
…马…牛	4	裾马襟牛,匹马丘牛,散马休牛,归马放牛
…不…心	4	词不悉心,死不甘心,漫不经心,一不小心
…心…行	4	革心易行,淫心匿行,亏心短行,防心摄行
…虎…狼	4	引虎拒狼,前虎后狼,如虎如狼,官虎吏狼
…移…变	4	时移世变,灰移火变,陵移谷变,风移俗变
…衾…枕	4	大衾长枕,孤衾独枕,温衾扇枕,翻衾倒枕
…口…声	4	哑口无声,杜口吞声,口口声声,掩口失声
…根…底	4	没根没底,究根诘底,知根知底,有根有底
…白…黑	4	以白为黑,视白成黑,没白没黑,说白道黑
…鲁…克	4	克鲁斯克,布鲁贝克,欧鲁诺克,科鲁拉克
…桃…李	4	投桃报李,浓桃艳李,方桃譬李,凡桃俗李
…林…尔	4	格林柯尔,科林法尔,奥林达尔,艾林诺尔
…业…产	4	弃业变产,破业失产,商业地产,企业破产
…花…树	4	琪花玉树,瑶花琪树,萱花椿树,银花火树
…心…肾	4	刳心雕肾,刿心鉥肾,鉥心刿肾,雕心刻肾
…情…性	4	至情至性,兰情蕙性,任情恣性,滥情乱性
…烟…雾	4	吞烟吐雾,愁烟苦雾,柳烟花雾,蛮烟瘴雾
…香…色	4	古香古色,天香国色,生香活色,盐香风色
…二…三	4	隔二偏三,无二无三,第二十三,破二作三
…不…儿	4	小不点儿,扳不倒儿,虎不食儿,气不忿儿
…情…景	4	寓情于景,此情此景,生情见景,绘情绘景
…里…特	4	扎里科特,格里加特,斯里诺特,哈里波特
…利…特	4	伊利亚特,哈利波特,埃利奥特,奥利斯特
…尊…卑	4	屈尊就卑,男尊女卑,辞尊居卑,降尊临卑
…言…事	4	一言偾事,寓言故事,造言生事,闲言闲事
…嗔…喜	4	半嗔半喜,回嗔作喜,宜嗔宜喜,转嗔为喜
…兰…尔	4	瓦兰达尔,泰兰希尔,帕兰蒂尔,索兰萨尔
…尔…什	4	加尔高什,卡尔拉什,巴尔喀什,马尔罗什
…水…情	4	淡水交情,似水柔情,流水无情,顺水人情
…大…人	4	八大山人,意大利人,虎大伤人,长大成人
…理…法	4	合理合法,推理方法,物理疗法,管理办法
…饭…羹	4	尘饭涂羹,橡饭菁羹,爷饭娘羹,麦饭豆羹
…屈…伸	4	能屈能伸,小屈大伸,龙屈蛇伸,有屈无伸
…情…绪	4	不情不绪,无情无绪,没情没绪,离情别绪
…争…战	4	能争惯战,苦争恶战,蛮争触战,龙争虎战
…差…错	4	言差语错,阴差阳错,千差万错,将差就错
…民…国	4	医民医国,忧民忧国,裕民足国,于民润国
…洛…斯	4	麦洛克斯,泰洛尼斯,盖洛拉斯,特洛亚斯
…美…恶	4	溢美溢恶,蔽美扬恶,虚美隐恶,顺美匡恶
…翻…覆	4	三翻四覆,云翻雨覆,天翻地覆,翻翻覆覆
…式…样	4	一式一样,千式百样,各式各样,形式多样
…耕…耘	4	刀耕火耘,象耕鸟耘,朝耕暮耘,春耕夏耘
…里…斯	4	毛里求斯,杜里奥斯,格里菲斯,基里巴斯
…拼…凑	4	七拼八凑,东拼西凑,拼拼凑凑,生拼硬凑
…朋…侣	4	狂朋怪侣,诗朋酒侣,酒朋诗侣,鹭朋鸥侣
…巷…街	4	柳巷花街,啰巷拽街,溢巷填街,后巷前街
…水…龙	4	得水蛟龙,流水游龙,车水马龙,马水车龙
…皮…子	4	橡皮钉子,鱼皮鞑子,鸡皮栗子,龙皮扇子
…心…面	4	人心如面,冷心冷面,兽心人面,昧心蒙面
…离…散	4	四离五散,人离家散,好离好散,妻离子散
…水…水	4	一水两水,近水惜水,靠水吃水,给水排水
…狼…虎	4	饿狼饥虎,引狼拒虎,拒狼进虎,除狼得虎
…角…头	4	广角镜头,画角描头,蜗角蝇头,马角乌头
…肠…肚	4	撑肠拄肚,萦肠惹肚,掏肠剖肚,直肠直肚
…情…理	4	推情准理,尽情尽理,酌情处理,深情底理
…利…尔	4	伊利法尔,奥利加尔,巴利扎尔,麦利萨尔
…茶…饭	4	顿茶顿饭,不茶不饭,残茶剩饭,三茶六饭
…骨…斧	4	削骨巨斧,咬骨之斧,斩骨手斧,颅骨短斧
…拉…恩	4	弗拉胡恩,法拉罗恩,瑟拉塞恩,考拉哈恩
…光…地	4	暮光营地,月光林地,眼光落地,金光盖地
…俗…化	4	树俗立化,民俗文化,败俗伤化,随俗雅化
…疼…热	4	不疼不热,头疼脑热,疼疼热热,知疼着热
…盛…衰	4	物盛则衰,过盛必衰,长盛不衰,阴盛阳衰
…面…头	4	垢面蓬头,粉面油头,露面抛头,马面牛头
…人…语	4	个人词语,伤人一语,快人快语,痴人呓语
…头…首	4	低头倾首,刀头剑首,法头例首,狸头白首
…形…面	4	图形界面,羸形垢面,鸠形鹄面,鹄形鸟面
…光…彩	4	失光落彩,奇光异彩,流光溢彩,韬光敛彩
…光…影	4	天光云影,花光柳影,风光摄影,韬光晦影
…方…圆	4	毁方投圆,指方画圆,外方内圆,言方行圆
…日…岁	4	积日累岁,引日成岁,玩日愒岁,一日三岁
…儿…子	4	猴儿崽子,豚儿犬子,痴儿騃子,髦儿戏子
…五…六	4	第五十六,吆五喝六,逗五逗六,人五人六
…盈…满	4	履盈蹈满,志盈心满,恶盈衅满,罪盈恶满
…首…尾	4	彻首彻尾,有首有尾,畏首畏尾,通首至尾
…儿…妇	4	佳儿佳妇,侄儿媳妇,卖儿贴妇,孤儿寡妇
…功…能	4	伐功矜能,妒功忌能,妨功害能,矜功伐能
…灵…石	4	乞灵药石,木灵之石,精灵宝石,鞭灵走石
…利…人	4	叙利亚人,专利权人,比利时人,势利小人
…天…行	4	滔天罪行,航天飞行,逆天而行,遁天妄行
…灾…祸	4	被灾蒙祸,惹灾招祸,天灾人祸,横灾飞祸
…曼…尔	4	丹曼达尔,伊曼纽尔,哈曼纳尔,阿曼瑟尔
…生…子	4	门生天子,阳生补子,后生小子,虎生三子
…贫…苦	4	嗟贫叹苦,怜贫恤苦,济贫拔苦,访贫问苦
